Timestamp,CPUUtilization,NetworkIn,NetworkOut
2025-06-28 21:42:00+00:00,2.631930171180697,62.4,121.6
2025-06-28 21:52:00+00:00,2.6217429974989863,823.2,505.0
2025-06-28 22:02:00+00:00,2.5700158571800316,37.2,103.0
2025-06-28 22:12:00+00:00,2.6518757548043084,88.2,239.8
2025-06-28 22:22:00+00:00,2.6364697512368847,784.2,487.2
2025-06-28 22:32:00+00:00,2.6198621789200693,64.2,100.6
2025-06-28 22:42:00+00:00,2.5896618347355584,834.9,549.4
2025-06-28 22:52:00+00:00,2.608329512318284,92.2,205.0
2025-06-28 23:02:00+00:00,2.5698150604801384,55.2,91.6
2025-06-28 23:12:00+00:00,2.5903035843214455,781.2,461.4
2025-06-28 23:22:00+00:00,2.617812952320469,64.2,130.0
2025-06-28 23:32:00+00:00,2.5969310497834,65.4,197.0
2025-06-28 23:42:00+00:00,2.6313938219928388,823.3,495.6
2025-06-28 23:52:00+00:00,2.645132183683626,61.2,97.0
2025-06-29 00:02:00+00:00,2.621655441367638,811.2,507.4
2025-06-29 00:12:00+00:00,2.534658649926995,49.2,86.2
2025-06-29 00:22:00+00:00,2.5816740112598446,78.6,148.8
2025-06-29 00:32:00+00:00,2.601517620052698,808.2,558.2
2025-06-29 00:42:00+00:00,2.5794073805092923,64.2,117.8
2025-06-29 00:52:00+00:00,2.5765891885556855,110.8,160.3
2025-06-29 01:02:00+00:00,2.6284518970142097,811.3,484.8
2025-06-29 01:12:00+00:00,2.6411308072422797,56.4,119.2
2025-06-29 01:22:00+00:00,2.6230480787060695,98.4,200.0
2025-06-29 01:32:00+00:00,2.6466688707054624,802.2,497.6
2025-06-29 01:42:00+00:00,2.6800414772680154,65.6,106.4
2025-06-29 01:52:00+00:00,2.6301527225971997,823.2,525.0
2025-06-29 02:02:00+00:00,2.656688429248705,31.2,68.2
2025-06-29 02:12:00+00:00,2.641434949605896,101.4,272.6
2025-06-29 02:22:00+00:00,2.603476632257717,1096.4,631.9
2025-06-29 02:32:00+00:00,2.9589648798882124,15343.4,19042.8
2025-06-29 02:42:00+00:00,2.6834839449440517,814.2,552.0
2025-06-29 02:52:00+00:00,2.64318982349259,52.2,117.4
2025-06-29 03:02:00+00:00,2.644682255877913,115.8,155.6
2025-06-29 03:12:00+00:00,2.626826298110374,799.2,489.0
2025-06-29 03:22:00+00:00,2.6813107507778535,49.2,86.2
2025-06-29 03:32:00+00:00,2.6319787906386614,46.8,73.6
2025-06-29 03:42:00+00:00,2.6570624018101325,826.2,504.6
2025-06-29 03:52:00+00:00,2.62832754220162,64.2,216.4
2025-06-29 04:02:00+00:00,2.621936480638655,75.8,176.6
2025-06-29 04:12:00+00:00,2.621838848319004,835.2,565.2
2025-06-29 04:22:00+00:00,2.6482691481856575,43.2,108.4
2025-06-29 04:32:00+00:00,2.616662887318125,58.2,95.2
2025-06-29 04:42:00+00:00,2.591417005577386,817.2,507.0
2025-06-29 04:52:00+00:00,2.6469088322075063,83.4,185.6
2025-06-29 05:02:00+00:00,2.630411765757762,55.2,121.0
2025-06-29 05:12:00+00:00,2.605052260735467,793.2,466.8
2025-06-29 05:22:00+00:00,2.6198428191972534,61.2,126.4
2025-06-29 05:32:00+00:00,2.608442501786303,31.2,68.2
2025-06-29 05:42:00+00:00,2.5948738085824425,881.2,614.0
2025-06-29 05:52:00+00:00,2.620001455590846,47.6,82.6
2025-06-29 06:02:00+00:00,2.6469231304844505,1245.0,1082.1
2025-06-29 06:12:00+00:00,2.6416872760114307,68.6,129.0
2025-06-29 06:22:00+00:00,2.6633716090873087,43.2,86.4
2025-06-29 06:32:00+00:00,2.6304984520565404,836.5,538.2
2025-06-29 06:42:00+00:00,2.6281868683993292,52.2,125.4
2025-06-29 06:52:00+00:00,3.5623540917683862,73.0,147.0
2025-06-29 07:02:00+00:00,2.689426424605034,900.1,586.2
2025-06-29 07:12:00+00:00,2.6036716960316406,46.2,112.0
2025-06-29 07:22:00+00:00,2.569826203142425,61.8,97.0
2025-06-29 07:32:00+00:00,2.571798762240841,827.4,526.0
2025-06-29 07:42:00+00:00,2.6133315494003115,100.2,309.4
2025-06-29 07:52:00+00:00,2.6048311408826015,61.2,143.6
